,id,created_at,tweet,sum,true_value,polarity_api_output,is_same,concept_api_output,intensity_api_output,aspect_api_output,scores,compound,comp_score,scores_text_blob,comp_score_text_blob,score_flair,comp_score_flair
0,1369812663623180288,2021-03-11 6:19:23,"In great news my senior parents are getting the vaccine tomorrow. <EMOJI:red_heart> Whew, thank goodness. #vaccine",2.0,POSITIVE,POSITIVE,1,"['great news', 'senior', 'vaccine', 'thank', 'goodness', 'vaccine']",0.769,"[('getting', 'POSITIVE'), ('whew', 'POSITIVE')]","{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.8625}",0.8625,POSITIVE,0.8,POSITIVE,0.9949,POSITIVE
1,1354514776534220804,2021-01-28 1:11:03,"Our Co-Founder and CEO <USER> recently received her COVID-19 vaccination! As more and more people have the opportunity to get vaccinated we must spread awareness that the #vaccine is effective, safe, and our best tool against #COVID19. #VaccinesSaveLives #GetVaccinated",2.0,POSITIVE,NEGATIVE,0,"['founder', 'recent', 'covid', 'vaccine', 'vaccine', 'spread', 'awareness', 'vaccine', 'effective', 'safe', 'best', 'tool', 'against', 'covid']",-0.821,"[('vaccine', 'POSITIVE'), ('must', 'POSITIVE'), ('received', 'NEGATIVE')]","{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.923}",0.923,POSITIVE,0.5166666666666667,POSITIVE,0.7248,POSITIVE
2,1349045265945264130,2021-01-12 22:57:10,"""This is all we have left. This can't fail."" <USER>says America needs to make mass vaccinations its #1 priority. Plus, Can you spread #COVID19 even after 2 #vaccine doses?"" Find out here <EMOJI:backhand_index_pointing_down><EMOJI:light_skin_tone>",0.2,POSITIVE,POSITIVE,1,"['fail', 'make', 'vaccine', 'priority', 'plus', 'spread', 'covid', 'vaccine', 'dose']",0.8140000000000001,"[('mass', 'POSITIVE'), ('ANNOYANCE', 'POSITIVE'), ('america', 'NEGATIVE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,POSITIVE,-0.25,NEGATIVE,-0.9779,NEGATIVE
3,1366793773728980992,2021-03-02 22:23:24,Dear #MAGA Trump NEVER cared about you. He Jim Jones'd y'all. Stop drinking the punch and get on that plane! #Traitor #vaccine,-1.2,NEGATIVE,POSITIVE,0,"['cared', 'stop', 'punch', 'plane', 'traitor', 'vaccine']",0.769,"[('drink', 'NEGATIVE'), ('plan', 'POSITIVE')]","{'neg': 0.183, 'neu': 0.719, 'pos': 0.098, 'compound': -0.3013}",-0.3013,NEGATIVE,0.0,POSITIVE,-0.999,NEGATIVE
4,1371004616897269763,2021-03-14 13:15:47,I am all for risk triaging and in turn getting vaccinated in due course. But why has <USER> had two more vaccines more than basically every health care worker I know? <EMOJI:thinking_face> #auspol #vaccine #COVID19Aus,-1.1,NEGATIVE,POSITIVE,0,"['health care', 'risk', 'turn', 'vaccine', 'vaccine', 'basically', 'worker', 'know', 'vaccine']",0.769,"[('getting', 'POSITIVE'), ('more', 'POSITIVE'), ('than', 'POSITIVE')]","{'neg': 0.042, 'neu': 0.841, 'pos': 0.117, 'compound': 0.5789}",0.5789,POSITIVE,0.2916666666666667,POSITIVE,-0.921,NEGATIVE
5,1356666221450690560,2021-02-02 23:40:07,It was great for <USER> members to be on a call with <USER> and <USER> on the roll-out of the vaccination. It was good to hear that East London will be opening up a vaccination center. #SaveLives #covid19 #vaccine,2.0,POSITIVE,POSITIVE,1,"['great', 'call', 'roll', 'vaccine', 'good', 'hear', 'opening', 'vaccine', 'cent', 'covid', 'vaccine']",0.769,"[('london', 'POSITIVE')]","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.7906}",0.7906,POSITIVE,0.4666666666666666,POSITIVE,0.8852,POSITIVE
6,1352375432214142978,2021-01-22 3:30:03,"Mags says My son ,who is a nurse ,and some of his colleagues had their first vaccine before Christmas ,everyone who had the vaccine were later ill and tested positive for #covid , all the other nurses who said no to the #vaccine were all ok !!,",-0.7,NEGATIVE,POSITIVE,0,"['christmas eve', 'tested positive', 'mage', 'colleague', 'vaccine', 'vaccine', 'late', 'covid', 'vaccine', 'ok']",0.718,"[('colleague', 'POSITIVE'), ('first', 'POSITIVE')]","{'neg': 0.095, 'neu': 0.783, 'pos': 0.122, 'compound': 0.3365}",0.3365,POSITIVE,0.10558712121212122,POSITIVE,-0.999,NEGATIVE
7,1357212378765684738,2021-02-04 11:50:21,"#Israel is now offering the #vaccine to anyone over age 16. They have vaccinated 3.3 million people to date and are leading the global inoculation effort. Same time country is under #lockdown, cabinet to discuss extension today &amp; #elections are around the corner. Hang in there",1.2,POSITIVE,NEGATIVE,0,"['offering', 'vaccine', 'vaccine', 'leading', 'inoculation', 'effort', 'time', 'cabinet', 'discuss', 'hang']",-0.8390000000000001,"[('they', 'POSITIVE'), ('same', 'POSITIVE'), ('lockdown', 'POSITIVE'), ('global', 'NEGATIVE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,POSITIVE,0.0,POSITIVE,0.8273,POSITIVE
8,1371143426599702528,2021-03-14 22:27:22,My first shot today. Wishing everybody good health and end to this hideous pandemic #COVID19 #vaccine,2.0,POSITIVE,POSITIVE,1,"['good health', 'wish', 'end', 'hideous', 'pandemic', 'covid', 'vaccine']",0.769,"[('everybody', 'POSITIVE')]","{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.5859}",0.5859,POSITIVE,0.475,POSITIVE,-0.9998,NEGATIVE
9,1364394016406712324,2021-02-24 7:27:37,"Can I use the #Liberal mantra, ""my body, my choice,"" when it comes to a #vaccine? Or is that line exclusive to murdering babies?? #NoVaccineForMe #AbortionIsMurder #BabiesLivesMatter",-0.9,NEGATIVE,POSITIVE,0,"['liberal', 'mantra', 'choice', 'vaccine', 'exclusive', 'murder']",0.863,"[('body', 'POSITIVE'), ('line', 'POSITIVE')]","{'neg': 0.165, 'neu': 0.784, 'pos': 0.051, 'compound': -0.6531}",-0.6531,NEGATIVE,0.0,POSITIVE,-0.9992,NEGATIVE
