,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,polarity_api_output
2972,3152,20323,20323,29249,1369812663623180288,1369812663623180288,2021-03-11 06:19:23,2021-03-11,06:19:23,530,2461059815,peacefulkinds,peace lady,,"In great news my senior parents are getting the vaccine tomorrow. <EMOJI:red_heart> Whew, thank goodness. #vaccine",en,[],[],[],1.0,0.0,14.0,['vaccine'],[],https://twitter.com/peacefulkinds/status/1369812663623180288,False,,0.0,,,,,,,,[],,,,,NEGATIVE
9039,9627,26798,26798,37553,1354514776534220804,1354514776534220804,2021-01-28 01:11:03,2021-01-28,01:11:03,530,814910681325649920,charityh4tw,Health4TheWorld,,"Our Co-Founder and CEO <USER> recently received her COVID-19 vaccination! As more and more people have the opportunity to get vaccinated we must spread awareness that the #vaccine is effective, safe, and our best tool against #COVID19. #VaccinesSaveLives #GetVaccinated",en,"[{'screen_name': 'bhavyarehanimd', 'name': 'bhavya rehani, md', 'id': '385776051'}]",[],['https://pbs.twimg.com/media/Esw0ArjXUAA0Crk.jpg'],1.0,12.0,35.0,"['vaccine', 'covid19', 'vaccinessavelives', 'getvaccinated']",[],https://twitter.com/CharityH4TW/status/1354514776534220804,False,,1.0,https://pbs.twimg.com/media/Esw0ArjXUAA0Crk.jpg,,,,,,,[],,,,,NEGATIVE
11616,12347,29518,29518,41076,1349045265945264130,1349045265945264130,2021-01-12 22:57:10,2021-01-12,22:57:10,530,497262990,jchatterleycnn,Julia Chatterley,,"""This is all we have left. This can't fail."" <USER>says America needs to make mass vaccinations its #1 priority. Plus, Can you spread #COVID19 even after 2 #vaccine doses?"" Find out here <EMOJI:backhand_index_pointing_down><EMOJI:light_skin_tone>",en,"[{'screen_name': 'peterhotez', 'name': 'prof peter hotez md phd', 'id': '593289567'}]",[],[],8.0,41.0,147.0,"['covid19', 'vaccine']",[],https://twitter.com/jchatterleyCNN/status/1349045265945264130,False,,1.0,https://pbs.twimg.com/media/ErjF9cjXAAcrbyE.jpg,,,,,,,[],,,,,NEGATIVE
4105,4340,21511,21511,30765,1366793773728980992,1366793773728980992,2021-03-02 22:23:24,2021-03-02,22:23:24,530,88596684,carlosalazraqui,Carlos Alazraqui,,Dear #MAGA Trump NEVER cared about you. He Jim Jones'd y'all. Stop drinking the punch and get on that plane! #Traitor #vaccine,en,[],['https://www.cnn.com/videos/health/2021/03/02/donald-melania-trump-got-covid-19-vaccine-in-secret-hotez-sot-newday-sot-vpx.cnn'],[],0.0,7.0,29.0,"['maga', 'traitor', 'vaccine']",[],https://twitter.com/carlosalazraqui/status/1366793773728980992,False,,0.0,,,,,,,,[],,,,,NEGATIVE
4706,4988,22159,22159,31655,1365339417997623296,1365339417997623296,2021-02-26 22:04:18,2021-02-26,22:04:18,530,1346791527918555136,vaccinestatusuk,UK COVID-19 Vaccine Tracker,,"On 25 February 485,720 1st doses<EMOJI:syringe> were administered across the UK <EMOJI:chart_increasing>8% day on day rate increase <EMOJI:chart_increasing>7% week on week rate increase <EMOJI:chart_increasing>7-day average of 328,860 (up from 324,108) Here we go, 7-day average on the rise again! <EMOJI:flexed_biceps> #vaccine #COVID19",en,[],[],"['https://pbs.twimg.com/media/EvKo0E0XUAk44c5.jpg', 'https://pbs.twimg.com/media/EvKo3pkXUAMSl0W.jpg']",2.0,10.0,48.0,"['vaccine', 'covid19']",[],https://twitter.com/VaccineStatusUK/status/1365339417997623296,False,,1.0,https://pbs.twimg.com/media/EvKo0E0XUAk44c5.jpg,,,,,,,[],,,,,NEGATIVE
7409,7876,25047,25047,35332,1358108212055203844,1358100315627782145,2021-02-06 23:10:04,2021-02-06,23:10:04,530,431777800,hsajwanization,حسن سجواني 🇦🇪 Hassan Sajwani,,The UAEs winning cards that keep them awake: A giant magnet to world talent and entrepreneurs The worlds 2nd fastest #vaccine roll-out Launch of Al Barakah Nuclear energy <USER>,en,"[{'screen_name': 'enec_uae', 'name': 'emirates nuclear', 'id': '459434813'}]",[],[],1.0,10.0,31.0,['vaccine'],[],https://twitter.com/HSajwanization/status/1358108212055203844,False,,0.0,,,,,,,,[],,,,,NEGATIVE
2510,2662,19833,19833,28625,1371004616897269763,1371004616897269763,2021-03-14 13:15:47,2021-03-14,13:15:47,530,56101799,psychwrite,Jackie Rakov Ψ,,I am all for risk triaging and in turn getting vaccinated in due course. But why has <USER> had two more vaccines more than basically every health care worker I know? <EMOJI:thinking_face> #auspol #vaccine #COVID19Aus,en,"[{'screen_name': 'scottmorrisonmp', 'name': 'scott morrison', 'id': '34116377'}]",[],[],1.0,2.0,20.0,"['auspol', 'vaccine', 'covid19aus']",[],https://twitter.com/psychwrite/status/1371004616897269763,False,,0.0,,,,,,,,[],,,,,NEGATIVE
8011,8525,25696,25696,36150,1356666221450690560,1356666221450690560,2021-02-02 23:40:07,2021-02-02,23:40:07,530,550929492,londonfaiths,Faiths Forum,,It was great for <USER> members to be on a call with <USER> and <USER> on the roll-out of the vaccination. It was good to hear that East London will be opening up a vaccination center. #SaveLives #covid19 #vaccine,en,"[{'screen_name': 'londonfaiths', 'name': 'faiths forum', 'id': '550929492'}, {'screen_name': 'team_greenhalgh', 'name': 'stephen greenhalgh', 'id': '2918045255'}]",[],['https://pbs.twimg.com/media/EtPXNSxXcAIknV6.jpg'],1.0,11.0,28.0,"['savelives', 'covid19', 'vaccine']",[],https://twitter.com/LondonFaiths/status/1356666221450690560,False,,1.0,https://pbs.twimg.com/media/EtPXNSxXcAIknV6.jpg,,,,,,,[],,,,,NEGATIVE
9989,10630,27801,27801,38762,1352375432214142978,1352375432214142978,2021-01-22 03:30:03,2021-01-22,03:30:03,530,351347712,mojos55,Maureen Fitzsimmons,,"Mags says My son ,who is a nurse ,and some of his colleagues had their first vaccine before Christmas ,everyone who had the vaccine were later ill and tested positive for #covid , all the other nurses who said no to the #vaccine were all ok !!,",en,[],[],[],19.0,43.0,73.0,"['covid', 'vaccine']",[],https://twitter.com/mojos55/status/1352375432214142978,False,,0.0,,,,,,,,[],,,,,NEGATIVE
7788,8279,25450,25450,35836,1357212378765684738,1357212378765684738,2021-02-04 11:50:21,2021-02-04,11:50:21,530,153908352,michaldivon,Michal Divon מיכל דיבון ميخال ديفون,,"#Israel is now offering the #vaccine to anyone over age 16. They have vaccinated 3.3 million people to date and are leading the global inoculation effort. Same time country is under #lockdown, cabinet to discuss extension today &amp; #elections are around the corner. Hang in there",en,[],[],[],1.0,9.0,40.0,"['israel', 'vaccine', 'lockdown', 'elections']",[],https://twitter.com/michaldivon/status/1357212378765684738,False,,0.0,,,,,,,,[],,,,,NEGATIVE
